year,ID,name
1871,0,Boston Red Stockings
1871,1,Chicago White Stockings
1871,2,Cleveland Forest Citys
1871,3,Fort Wayne Kekiongas
1871,4,New York Mutuals
1871,5,Philadelphia Athletics
1871,6,Rockford Forest Citys
1871,7,Troy Haymakers
1871,8,Washington Olympics
1872,9,Baltimore Canaries
1872,10,Brooklyn Eckfords
1872,11,Brooklyn Atlantics
1872,0,Boston Red Stockings
1872,2,Cleveland Forest Citys
1872,12,Middletown Mansfields
1872,4,New York Mutuals
1872,5,Philadelphia Athletics
1872,7,Troy Haymakers
1872,8,Washington Olympics
1872,13,Washington Nationals
1873,9,Baltimore Canaries
1873,14,Baltimore Marylands
1873,11,Brooklyn Atlantics
1873,0,Boston Red Stockings
1873,15,Elizabeth Resolutes
1873,4,New York Mutuals
1873,5,Philadelphia Athletics
1873,16,Philadelphia Whites
1873,17,Washington Blue Legs
1874,9,Baltimore Canaries
1874,11,Brooklyn Atlantics
1874,0,Boston Red Stockings
1874,18,Chicago White Stockings
1874,19,Hartford Dark Blues
1874,4,New York Mutuals
1874,5,Philadelphia Athletics
1874,16,Philadelphia Whites
1875,11,Brooklyn Atlantics
1875,0,Boston Red Stockings
1875,18,Chicago White Stockings
1875,19,Hartford Dark Blues
1875,20,Keokuk Westerns
1875,21,New Haven Elm Citys
1875,4,New York Mutuals
1875,5,Philadelphia Athletics
1875,16,Philadelphia Whites
1875,22,Philadelphia Centennials
1875,23,St. Louis Red Stockings
1875,24,St. Louis Brown Stockings
1875,25,Washington Nationals
1876,26,Boston Red Caps
1876,27,Chicago White Stockings
1876,28,Cincinnati Reds
1876,29,Hartford Dark Blues
1876,30,Louisville Grays
1876,31,New York Mutuals
1876,32,Philadelphia Athletics
1876,33,St. Louis Brown Stockings
1877,26,Boston Red Caps
1877,27,Chicago White Stockings
1877,28,Cincinnati Reds
1877,29,Hartford Dark Blues
1877,30,Louisville Grays
1877,33,St. Louis Brown Stockings
1878,26,Boston Red Caps
1878,27,Chicago White Stockings
1878,28,Cincinnati Reds
1878,34,Indianapolis Blues
1878,35,Milwaukee Grays
1878,36,Providence Grays
1879,37,Buffalo Bisons
1879,26,Boston Red Caps
1879,27,Chicago White Stockings
1879,38,Cleveland Blues
1879,28,Cincinnati Reds
1879,36,Providence Grays
1879,39,Syracuse Stars
1879,40,Troy Trojans
1880,37,Buffalo Bisons
1880,26,Boston Red Caps
1880,27,Chicago White Stockings
1880,38,Cleveland Blues
1880,28,Cincinnati Reds
1880,36,Providence Grays
1880,40,Troy Trojans
1880,41,Worcester Ruby Legs
1881,37,Buffalo Bisons
1881,26,Boston Red Caps
1881,27,Chicago White Stockings
1881,38,Cleveland Blues
1881,42,Detroit Wolverines
1881,36,Providence Grays
1881,40,Troy Trojans
1881,41,Worcester Ruby Legs
1882,37,Buffalo Bisons
1882,43,Baltimore Orioles
1882,26,Boston Red Caps
1882,27,Chicago White Stockings
1882,38,Cleveland Blues
1882,44,Cincinnati Red Stockings
1882,42,Detroit Wolverines
1882,45,Louisville Eclipse
1882,46,Philadelphia Athletics
1882,36,Providence Grays
1882,47,Pittsburg Alleghenys
1882,48,St. Louis Brown Stockings
1882,40,Troy Trojans
1882,41,Worcester Ruby Legs
1883,37,Buffalo Bisons
1883,43,Baltimore Orioles
1883,26,Boston Beaneaters
1883,27,Chicago White Stockings
1883,38,Cleveland Blues
1883,49,Columbus Buckeyes
1883,44,Cincinnati Red Stockings
1883,42,Detroit Wolverines
1883,45,Louisville Eclipse
1883,50,New York Gothams
1883,51,New York Metropolitans
1883,46,Philadelphia Athletics
1883,52,Philadelphia Quakers
1883,36,Providence Grays
1883,47,Pittsburg Alleghenys
1883,48,St. Louis Browns
1884,53,Altoona Mountain City
1884,37,Buffalo Bisons
1884,43,Baltimore Orioles
1884,54,Baltimore Monumentals
1884,55,Brooklyn Atlantics
1884,26,Boston Beaneaters
1884,56,Boston Reds
1884,27,Chicago White Stockings
1884,57,Chicago/Pittsburgh (Union League)
1884,38,Cleveland Blues
1884,49,Columbus Buckeyes
1884,44,Cincinnati Red Stockings
1884,58,Cincinnati Outlaw Reds
1884,42,Detroit Wolverines
1884,59,Indianapolis Hoosiers
1884,60,Kansas City Cowboys
1884,45,Louisville Eclipse
1884,61,Milwaukee Brewers
1884,50,New York Gothams
1884,51,New York Metropolitans
1884,46,Philadelphia Athletics
1884,52,Philadelphia Quakers
1884,62,Philadelphia Keystones
1884,36,Providence Grays
1884,47,Pittsburg Alleghenys
1884,63,Richmond Virginians
1884,48,St. Louis Browns
1884,64,St. Louis Maroons
1884,65,St. Paul White Caps
1884,66,Toledo Blue Stockings
1884,67,Wilmington Quicksteps
1884,68,Washington Nationals
1884,69,Washington Nationals
1885,37,Buffalo Bisons
1885,43,Baltimore Orioles
1885,55,Brooklyn Grays
1885,26,Boston Beaneaters
1885,27,Chicago White Stockings
1885,44,Cincinnati Red Stockings
1885,42,Detroit Wolverines
1885,45,Louisville Colonels
1885,50,New York Giants
1885,51,New York Metropolitans
1885,46,Philadelphia Athletics
1885,52,Philadelphia Quakers
1885,36,Providence Grays
1885,47,Pittsburg Alleghenys
1885,48,St. Louis Browns
1885,70,St. Louis Maroons
1886,43,Baltimore Orioles
1886,55,Brooklyn Grays
1886,26,Boston Beaneaters
1886,27,Chicago White Stockings
1886,44,Cincinnati Red Stockings
1886,42,Detroit Wolverines
1886,71,Kansas City Cowboys
1886,45,Louisville Colonels
1886,50,New York Giants
1886,51,New York Metropolitans
1886,46,Philadelphia Athletics
1886,52,Philadelphia Quakers
1886,47,Pittsburg Alleghenys
1886,48,St. Louis Browns
1886,70,St. Louis Maroons
1886,72,Washington Nationals
1887,43,Baltimore Orioles
1887,55,Brooklyn Grays
1887,26,Boston Beaneaters
1887,27,Chicago White Stockings
1887,73,Cleveland Blues
1887,44,Cincinnati Red Stockings
1887,42,Detroit Wolverines
1887,74,Indianapolis Hoosiers
1887,45,Louisville Colonels
1887,50,New York Giants
1887,51,New York Metropolitans
1887,46,Philadelphia Athletics
1887,52,Philadelphia Quakers
1887,75,Pittsburg Alleghenys
1887,48,St. Louis Browns
1887,72,Washington Nationals
1888,43,Baltimore Orioles
1888,55,Brooklyn Bridegrooms
1888,26,Boston Beaneaters
1888,27,Chicago White Stockings
1888,73,Cleveland Blues
1888,44,Cincinnati Red Stockings
1888,42,Detroit Wolverines
1888,74,Indianapolis Hoosiers
1888,76,Kansas City Cowboys
1888,45,Louisville Colonels
1888,50,New York Giants
1888,46,Philadelphia Athletics
1888,52,Philadelphia Quakers
1888,75,Pittsburg Alleghenys
1888,48,St. Louis Browns
1888,72,Washington Nationals
1889,43,Baltimore Orioles
1889,55,Brooklyn Bridegrooms
1889,26,Boston Beaneaters
1889,27,Chicago White Stockings
1889,77,Cleveland Spiders
1889,78,Columbus Solons
1889,44,Cincinnati Red Stockings
1889,74,Indianapolis Hoosiers
1889,76,Kansas City Cowboys
1889,45,Louisville Colonels
1889,50,New York Giants
1889,46,Philadelphia Athletics
1889,52,Philadelphia Quakers
1889,75,Pittsburg Alleghenys
1889,48,St. Louis Browns
1889,72,Washington Nationals
1890,79,Buffalo Bisons
1890,80,Baltimore Orioles
1890,81,Brooklyn Gladiators
1890,82,Brooklyn Bridegrooms
1890,83,Brooklyn Ward's Wonders
1890,26,Boston Beaneaters
1890,84,Boston Reds
1890,27,Chicago Colts
1890,85,Chicago Pirates
1890,86,Cincinnati Reds
1890,77,Cleveland Spiders
1890,78,Columbus Solons
1890,87,Cleveland Infants
1890,45,Louisville Colonels
1890,50,New York Giants
1890,88,New York Giants
1890,46,Philadelphia Athletics
1890,52,Philadelphia Phillies
1890,89,Philadelphia Athletics
1890,75,Pittsburg Alleghenys
1890,90,Pittsburgh Burghers
1890,91,Rochester Broncos
1890,48,St. Louis Browns
1890,92,Syracuse Stars
1890,93,Toledo Maumees
1891,80,Baltimore Orioles
1891,82,Brooklyn Grooms
1891,94,Boston Reds
1891,26,Boston Beaneaters
1891,27,Chicago Colts
1891,86,Cincinnati Reds
1891,77,Cleveland Spiders
1891,78,Columbus Solons
1891,95,Cincinnati Kelly's Killers
1891,45,Louisville Colonels
1891,96,Milwaukee Brewers
1891,50,New York Giants
1891,46,Philadelphia Athletics
1891,52,Philadelphia Phillies
1891,75,Pittsburgh Pirates
1891,48,St. Louis Browns
1891,97,Washington Statesmen
1892,98,Baltimore Orioles
1892,82,Brooklyn Grooms
1892,26,Boston Beaneaters
1892,27,Chicago Colts
1892,86,Cincinnati Reds
1892,77,Cleveland Spiders
1892,99,Louisville Colonels
1892,50,New York Giants
1892,52,Philadelphia Phillies
1892,75,Pittsburgh Pirates
1892,100,St. Louis Browns
1892,101,Washington Senators
1893,98,Baltimore Orioles
1893,82,Brooklyn Grooms
1893,26,Boston Beaneaters
1893,27,Chicago Colts
1893,86,Cincinnati Reds
1893,77,Cleveland Spiders
1893,99,Louisville Colonels
1893,50,New York Giants
1893,52,Philadelphia Phillies
1893,75,Pittsburgh Pirates
1893,100,St. Louis Browns
1893,101,Washington Senators
1894,98,Baltimore Orioles
1894,82,Brooklyn Grooms
1894,26,Boston Beaneaters
1894,27,Chicago Colts
1894,86,Cincinnati Reds
1894,77,Cleveland Spiders
1894,99,Louisville Colonels
1894,50,New York Giants
1894,52,Philadelphia Phillies
1894,75,Pittsburgh Pirates
1894,100,St. Louis Browns
1894,101,Washington Senators
1895,98,Baltimore Orioles
1895,82,Brooklyn Grooms
1895,26,Boston Beaneaters
1895,27,Chicago Colts
1895,86,Cincinnati Reds
1895,77,Cleveland Spiders
1895,99,Louisville Colonels
1895,50,New York Giants
1895,52,Philadelphia Phillies
1895,75,Pittsburgh Pirates
1895,100,St. Louis Browns
1895,101,Washington Senators
1896,98,Baltimore Orioles
1896,82,Brooklyn Bridegrooms
1896,26,Boston Beaneaters
1896,27,Chicago Colts
1896,86,Cincinnati Reds
1896,77,Cleveland Spiders
1896,99,Louisville Colonels
1896,50,New York Giants
1896,52,Philadelphia Phillies
1896,75,Pittsburgh Pirates
1896,100,St. Louis Browns
1896,101,Washington Senators
1897,98,Baltimore Orioles
1897,82,Brooklyn Bridegrooms
1897,26,Boston Beaneaters
1897,27,Chicago Colts
1897,86,Cincinnati Reds
1897,77,Cleveland Spiders
1897,99,Louisville Colonels
1897,50,New York Giants
1897,52,Philadelphia Phillies
1897,75,Pittsburgh Pirates
1897,100,St. Louis Browns
1897,101,Washington Senators
1898,98,Baltimore Orioles
1898,82,Brooklyn Bridegrooms
1898,26,Boston Beaneaters
1898,27,Chicago Orphans
1898,86,Cincinnati Reds
1898,77,Cleveland Spiders
1898,99,Louisville Colonels
1898,50,New York Giants
1898,52,Philadelphia Phillies
1898,75,Pittsburgh Pirates
1898,100,St. Louis Browns
1898,101,Washington Senators
1899,98,Baltimore Orioles
1899,82,Brooklyn Superbas
1899,26,Boston Beaneaters
1899,27,Chicago Orphans
1899,86,Cincinnati Reds
1899,77,Cleveland Spiders
1899,99,Louisville Colonels
1899,50,New York Giants
1899,52,Philadelphia Phillies
1899,75,Pittsburgh Pirates
1899,100,St. Louis Perfectos
1899,101,Washington Senators
1900,82,Brooklyn Superbas
1900,26,Boston Beaneaters
1900,27,Chicago Orphans
1900,86,Cincinnati Reds
1900,50,New York Giants
1900,52,Philadelphia Phillies
1900,75,Pittsburgh Pirates
1900,100,St. Louis Cardinals
1901,102,Baltimore Orioles
1901,103,Boston Americans
1901,82,Brooklyn Superbas
1901,26,Boston Beaneaters
1901,104,Chicago White Sox
1901,27,Chicago Orphans
1901,86,Cincinnati Reds
1901,105,Cleveland Blues
1901,106,Detroit Tigers
1901,107,Milwaukee Brewers
1901,50,New York Giants
1901,108,Philadelphia Athletics
1901,52,Philadelphia Phillies
1901,75,Pittsburgh Pirates
1901,100,St. Louis Cardinals
1901,109,Washington Senators
1902,102,Baltimore Orioles
1902,103,Boston Americans
1902,82,Brooklyn Superbas
1902,26,Boston Beaneaters
1902,104,Chicago White Sox
1902,27,Chicago Orphans
1902,86,Cincinnati Reds
1902,105,Cleveland Bronchos
1902,106,Detroit Tigers
1902,50,New York Giants
1902,108,Philadelphia Athletics
1902,52,Philadelphia Phillies
1902,75,Pittsburgh Pirates
1902,110,St. Louis Browns
1902,100,St. Louis Cardinals
1902,109,Washington Senators
1903,103,Boston Americans
1903,82,Brooklyn Superbas
1903,26,Boston Beaneaters
1903,104,Chicago White Sox
1903,27,Chicago Cubs
1903,86,Cincinnati Reds
1903,105,Cleveland Naps
1903,106,Detroit Tigers
1903,50,New York Giants
1903,111,New York Highlanders
1903,108,Philadelphia Athletics
1903,52,Philadelphia Phillies
1903,75,Pittsburgh Pirates
1903,110,St. Louis Browns
1903,100,St. Louis Cardinals
1903,109,Washington Senators
1904,103,Boston Americans
1904,82,Brooklyn Superbas
1904,26,Boston Beaneaters
1904,104,Chicago White Sox
1904,27,Chicago Cubs
1904,86,Cincinnati Reds
1904,105,Cleveland Naps
1904,106,Detroit Tigers
1904,50,New York Giants
1904,111,New York Highlanders
1904,108,Philadelphia Athletics
1904,52,Philadelphia Phillies
1904,75,Pittsburgh Pirates
1904,110,St. Louis Browns
1904,100,St. Louis Cardinals
1904,109,Washington Senators
1905,103,Boston Americans
1905,82,Brooklyn Superbas
1905,26,Boston Beaneaters
1905,104,Chicago White Sox
1905,27,Chicago Cubs
1905,86,Cincinnati Reds
1905,105,Cleveland Naps
1905,106,Detroit Tigers
1905,50,New York Giants
1905,111,New York Highlanders
1905,108,Philadelphia Athletics
1905,52,Philadelphia Phillies
1905,75,Pittsburgh Pirates
1905,110,St. Louis Browns
1905,100,St. Louis Cardinals
1905,109,Washington Senators
1906,103,Boston Americans
1906,82,Brooklyn Superbas
1906,26,Boston Beaneaters
1906,104,Chicago White Sox
1906,27,Chicago Cubs
1906,86,Cincinnati Reds
1906,105,Cleveland Naps
1906,106,Detroit Tigers
1906,50,New York Giants
1906,111,New York Highlanders
1906,108,Philadelphia Athletics
1906,52,Philadelphia Phillies
1906,75,Pittsburgh Pirates
1906,110,St. Louis Browns
1906,100,St. Louis Cardinals
1906,109,Washington Senators
1907,103,Boston Americans
1907,82,Brooklyn Superbas
1907,26,Boston Doves
1907,104,Chicago White Sox
1907,27,Chicago Cubs
1907,86,Cincinnati Reds
1907,105,Cleveland Naps
1907,106,Detroit Tigers
1907,50,New York Giants
1907,111,New York Highlanders
1907,108,Philadelphia Athletics
1907,52,Philadelphia Phillies
1907,75,Pittsburgh Pirates
1907,110,St. Louis Browns
1907,100,St. Louis Cardinals
1907,109,Washington Senators
1908,103,Boston Red Sox
1908,82,Brooklyn Superbas
1908,26,Boston Doves
1908,104,Chicago White Sox
1908,27,Chicago Cubs
1908,86,Cincinnati Reds
1908,105,Cleveland Naps
1908,106,Detroit Tigers
1908,50,New York Giants
1908,111,New York Highlanders
1908,108,Philadelphia Athletics
1908,52,Philadelphia Phillies
1908,75,Pittsburgh Pirates
1908,110,St. Louis Browns
1908,100,St. Louis Cardinals
1908,109,Washington Senators
1909,103,Boston Red Sox
1909,82,Brooklyn Superbas
1909,26,Boston Doves
1909,104,Chicago White Sox
1909,27,Chicago Cubs
1909,86,Cincinnati Reds
1909,105,Cleveland Naps
1909,106,Detroit Tigers
1909,50,New York Giants
1909,111,New York Highlanders
1909,108,Philadelphia Athletics
1909,52,Philadelphia Phillies
1909,75,Pittsburgh Pirates
1909,110,St. Louis Browns
1909,100,St. Louis Cardinals
1909,109,Washington Senators
1910,103,Boston Red Sox
1910,82,Brooklyn Superbas
1910,26,Boston Doves
1910,104,Chicago White Sox
1910,27,Chicago Cubs
1910,86,Cincinnati Reds
1910,105,Cleveland Naps
1910,106,Detroit Tigers
1910,50,New York Giants
1910,111,New York Highlanders
1910,108,Philadelphia Athletics
1910,52,Philadelphia Phillies
1910,75,Pittsburgh Pirates
1910,110,St. Louis Browns
1910,100,St. Louis Cardinals
1910,109,Washington Senators
1911,103,Boston Red Sox
1911,82,Brooklyn Dodgers
1911,26,Boston Rustlers
1911,104,Chicago White Sox
1911,27,Chicago Cubs
1911,86,Cincinnati Reds
1911,105,Cleveland Naps
1911,106,Detroit Tigers
1911,50,New York Giants
1911,111,New York Highlanders
1911,108,Philadelphia Athletics
1911,52,Philadelphia Phillies
1911,75,Pittsburgh Pirates
1911,110,St. Louis Browns
1911,100,St. Louis Cardinals
1911,109,Washington Senators
1912,103,Boston Red Sox
1912,82,Brooklyn Dodgers
1912,26,Boston Braves
1912,104,Chicago White Sox
1912,27,Chicago Cubs
1912,86,Cincinnati Reds
1912,105,Cleveland Naps
1912,106,Detroit Tigers
1912,50,New York Giants
1912,111,New York Highlanders
1912,108,Philadelphia Athletics
1912,52,Philadelphia Phillies
1912,75,Pittsburgh Pirates
1912,110,St. Louis Browns
1912,100,St. Louis Cardinals
1912,109,Washington Senators
1913,103,Boston Red Sox
1913,82,Brooklyn Superbas
1913,26,Boston Braves
1913,104,Chicago White Sox
1913,27,Chicago Cubs
1913,86,Cincinnati Reds
1913,105,Cleveland Naps
1913,106,Detroit Tigers
1913,50,New York Giants
1913,111,New York Yankees
1913,108,Philadelphia Athletics
1913,52,Philadelphia Phillies
1913,75,Pittsburgh Pirates
1913,110,St. Louis Browns
1913,100,St. Louis Cardinals
1913,109,Washington Senators
1914,112,Baltimore Terrapins
1914,103,Boston Red Sox
1914,113,Brooklyn Tip-Tops
1914,82,Brooklyn Robins
1914,26,Boston Braves
1914,114,Buffalo Buffeds
1914,104,Chicago White Sox
1914,115,Chicago Chi-Feds
1914,27,Chicago Cubs
1914,86,Cincinnati Reds
1914,105,Cleveland Naps
1914,106,Detroit Tigers
1914,116,Indianapolis Hoosiers
1914,117,Kansas City Packers
1914,50,New York Giants
1914,111,New York Yankees
1914,108,Philadelphia Athletics
1914,52,Philadelphia Phillies
1914,75,Pittsburgh Pirates
1914,118,Pittsburgh Rebels
1914,110,St. Louis Browns
1914,119,St. Louis Terriers
1914,100,St. Louis Cardinals
1914,109,Washington Senators
1915,112,Baltimore Terrapins
1915,103,Boston Red Sox
1915,113,Brooklyn Tip-Tops
1915,82,Brooklyn Robins
1915,26,Boston Braves
1915,114,Buffalo Blues
1915,104,Chicago White Sox
1915,115,Chicago Whales
1915,27,Chicago Cubs
1915,86,Cincinnati Reds
1915,105,Cleveland Indians
1915,106,Detroit Tigers
1915,117,Kansas City Packers
1915,120,Newark Pepper
1915,50,New York Giants
1915,111,New York Yankees
1915,108,Philadelphia Athletics
1915,52,Philadelphia Phillies
1915,75,Pittsburgh Pirates
1915,118,Pittsburgh Rebels
1915,110,St. Louis Browns
1915,119,St. Louis Terriers
1915,100,St. Louis Cardinals
1915,109,Washington Senators
1916,103,Boston Red Sox
1916,82,Brooklyn Robins
1916,26,Boston Braves
1916,104,Chicago White Sox
1916,27,Chicago Cubs
1916,86,Cincinnati Reds
1916,105,Cleveland Indians
1916,106,Detroit Tigers
1916,50,New York Giants
1916,111,New York Yankees
1916,108,Philadelphia Athletics
1916,52,Philadelphia Phillies
1916,75,Pittsburgh Pirates
1916,110,St. Louis Browns
1916,100,St. Louis Cardinals
1916,109,Washington Senators
1917,103,Boston Red Sox
1917,82,Brooklyn Robins
1917,26,Boston Braves
1917,104,Chicago White Sox
1917,27,Chicago Cubs
1917,86,Cincinnati Reds
1917,105,Cleveland Indians
1917,106,Detroit Tigers
1917,50,New York Giants
1917,111,New York Yankees
1917,108,Philadelphia Athletics
1917,52,Philadelphia Phillies
1917,75,Pittsburgh Pirates
1917,110,St. Louis Browns
1917,100,St. Louis Cardinals
1917,109,Washington Senators
1918,103,Boston Red Sox
1918,82,Brooklyn Robins
1918,26,Boston Braves
1918,104,Chicago White Sox
1918,27,Chicago Cubs
1918,86,Cincinnati Reds
1918,105,Cleveland Indians
1918,106,Detroit Tigers
1918,50,New York Giants
1918,111,New York Yankees
1918,108,Philadelphia Athletics
1918,52,Philadelphia Phillies
1918,75,Pittsburgh Pirates
1918,110,St. Louis Browns
1918,100,St. Louis Cardinals
1918,109,Washington Senators
1919,103,Boston Red Sox
1919,82,Brooklyn Robins
1919,26,Boston Braves
1919,104,Chicago White Sox
